UMD_VEG_LC,ENF=0,EBF=1,DNF=2,DBF=3,MF=4,CShrub=5,OShrub=6,Wsavannas=7,Savannas=8,Grass=9,Crop=10
Tmin_min(C),-8,-8,-8,-6,-7,-8,-8,-8,-8,-8,-8
Tmin_max(C),8.31,9.09,10.44,9.94,9.5,8.61,8.8,11.39,11.39,12.02,12.02
VPD_min(Pa),650,1000,650,650,650,650,650,650,650,650,650
VPD_max(Pa),3000,4000,3500,2900,2900,4300,4400,3500,3600,4200,4500
gl_sh((m/s),0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.02,0.02
gl_e_wv(m/s),0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.02,0.02
g_cuticular(m/s),1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05
Cl(m/s),0.0024,0.0024,0.0024,0.0024,0.0024,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
RBL_MIN(s/m),60,60,60,60,60,60,60,60,60,60,60
RBL_MAX(s/m),95,95,95,95,95,95,95,95,95,95,95
